exp_name,dataset,drift_detector,sample_selector,memory_manager,anti_forgetting,anomaly_scorer,f1,precision,recall,fpr,balanced_accuracy,bwt,fwt,label_efficiency,avg_inference_ms
dummy__dr=ssf__sl=ssf__mm=cnd__af=lwf__sc=mad,dummy,ssf,ssf,cndids,lwf_ssf,cade_mad,0.4328,0.8276,0.2892,0.0602,,,,,
dummy__dr=cade__sl=rand__mm=none__af=none__sc=pca,dummy,cade,random,none,none,pca,0.5987,0.5632,0.5385,0.5067,0.5159,0.013,0.0147,0.6988,0.83
dummy__dr=cade__sl=rand__mm=none__af=none__sc=mad,dummy,cade,random,none,none,cade_mad,0.1434,0.6,0.0659,0.0533,0.5063,0.011,-0.3181,0.6988,0.27
dummy__dr=cade__sl=rand__mm=none__af=cnd__sc=pca,dummy,cade,random,none,cndids,pca,0.5523,0.5181,0.4725,0.5333,0.4696,0.0013,0.003,0.6988,0.84
dummy__dr=cade__sl=rand__mm=none__af=cnd__sc=mad,dummy,cade,random,none,cndids,cade_mad,0.1,0.6,0.0989,0.08,0.5095,0.0,-0.3525,0.6988,0.28
dummy__dr=cade__sl=rand__mm=none__af=gpm__sc=pca,dummy,cade,random,none,gpm,pca,0.5429,0.5059,0.4725,0.56,0.4563,-0.0101,-0.0088,0.6988,0.81
dummy__dr=cade__sl=rand__mm=none__af=gpm__sc=mad,dummy,cade,random,none,gpm,cade_mad,0.1,0.8571,0.0659,0.0133,0.5263,0.0217,-0.3844,0.6988,0.99
dummy__dr=cade__sl=rand__mm=none__af=lwf__sc=pca,dummy,cade,random,none,lwf_ssf,pca,0.5961,0.5824,0.5824,0.5067,0.5379,0.0068,0.0359,0.6988,1.22
dummy__dr=cade__sl=rand__mm=none__af=lwf__sc=mad,dummy,cade,random,none,lwf_ssf,cade_mad,0.2367,0.5556,0.1099,0.1067,0.5016,-0.019,-0.2601,0.6988,0.3
dummy__dr=cade__sl=rand__mm=fifo__af=none__sc=pca,dummy,cade,random,fifo,none,pca,0.5681,0.5152,0.5604,0.64,0.4602,0.0048,-0.0017,0.6988,0.88
dummy__dr=cade__sl=rand__mm=fifo__af=none__sc=mad,dummy,cade,random,fifo,none,cade_mad,0.065,0.4286,0.033,0.0533,0.4898,0.0223,-0.4368,0.6988,0.27
dummy__dr=cade__sl=rand__mm=fifo__af=cnd__sc=pca,dummy,cade,random,fifo,cndids,pca,0.6407,0.5586,0.6813,0.6533,0.514,0.0003,0.0976,0.6988,0.81
dummy__dr=cade__sl=rand__mm=fifo__af=cnd__sc=mad,dummy,cade,random,fifo,cndids,cade_mad,0.1469,0.5385,0.0769,0.08,0.4985,0.0073,-0.3337,0.6988,0.27
